zona,m2,recamaras,banos,estacionamientos,precio_venta_mxn,renta_mensual_mxn,antiguedad_anios,vacancia_pct,riesgo_zona
Centro,123.5,2,1,1,3060000,14500,18,6.5,4
Juriquilla,107.6,2,2,2,3244000,19000,8,4.6,2
Cumbres del Lago,97.8,3,3,1,3601000,16900,6,3.5,2
Centro,117.8,1,1,1,2624000,16700,28,2.7,4
Zibatá,84.4,2,2,1,3340000,20300,3,2.7,1
Juriquilla,109.6,2,2,1,2708000,14500,5,3.5,2
Cumbres del Lago,164.4,3,3,1,7958000,42500,2,4.5,2
Jurica,122.1,4,3,1,5132000,25400,6,5.6,2
Jurica,66.6,4,3,1,3437000,20300,19,5.6,2
Zibatá,67.8,2,2,2,1962000,10500,5,3.4,1
Corregidora,109.4,3,2,2,3516000,20600,15,6.6,3
Centro,101.3,2,1,1,2309000,14100,26,2.7,4
Corregidora,112.1,2,2,2,2987000,14400,8,3.5,3
Juriquilla,139.5,3,2,1,4602000,27400,7,5.0,2
Zibatá,106.7,3,2,1,3508000,19800,1,2.4,1
Centro,139.3,1,1,1,3542000,18100,13,9.9,4
Centro,64.6,1,1,2,1919000,10900,12,8.6,4
El Refugio,130.4,3,2,2,3024000,18300,3,4.8,3
El Refugio,58.6,3,2,1,1551000,7800,2,6.2,3
Jurica,150.6,3,3,2,10535000,59100,16,5.3,2
Corregidora,137.7,2,2,1,3370000,19200,8,4.7,3
Mileno III,134.4,2,2,1,3036000,17700,11,5.7,3
El Refugio,148.3,3,2,1,3574000,20300,7,6.8,3
Cumbres del Lago,107.3,3,3,1,4782000,30100,7,4.4,2
Jurica,58.1,3,3,1,2996000,18900,19,4.9,2
Mileno III,153.3,2,2,2,4391000,27100,6,6.2,3
Juriquilla,101.6,3,2,2,2752000,14200,5,3.0,2
Cumbres del Lago,60.1,3,3,1,2406000,11600,7,3.8,2
Centro,132.4,3,1,1,2707000,14000,27,6.8,4
El Refugio,101.3,2,2,2,2719000,17100,6,4.7,3
Juriquilla,168.9,2,2,2,5696000,27400,1,3.4,2
Jurica,111.1,3,3,1,4566000,29500,14,5.5,2
Cumbres del Lago,101.7,4,3,2,4011000,19200,7,3.6,2
Zibatá,45.0,2,2,1,1593000,9900,6,3.7,1
Mileno III,61.8,2,2,1,1752000,8100,8,3.1,3
Mileno III,116.1,3,2,1,2891000,16700,4,4.1,3
El Refugio,112.3,3,2,1,3066000,15800,9,4.9,3
Centro,84.2,2,1,2,1846000,11700,11,4.0,4
Corregidora,90.5,2,2,2,1987000,10500,11,7.4,3
Centro,95.4,3,1,2,2409000,15500,11,6.6,4
Mileno III,125.0,2,2,2,3446000,22100,11,4.9,3
Centro,80.7,3,1,2,1941000,11700,10,7.9,4
Mileno III,75.8,3,2,1,1706000,7800,6,2.3,3
Centro,118.0,2,1,1,2397000,14400,17,8.5,4
Zibatá,181.7,2,2,2,8054000,38200,6,3.9,1
Jurica,91.9,3,3,1,3839000,21600,6,2.7,2
Jurica,127.4,3,3,2,5735000,33400,16,2.7,2
El Refugio,124.9,3,2,2,3466000,18600,10,6.4,3
Mileno III,117.5,2,2,1,3432000,19100,4,3.4,3
Jurica,134.2,4,3,1,8545000,44100,11,2.5,2
Jurica,161.2,3,3,1,9558000,45700,10,5.0,2
Centro,109.0,2,1,2,2606000,14500,19,6.0,4
Cumbres del Lago,148.6,3,3,1,5894000,33500,7,3.2,2
Centro,96.7,2,1,1,2674000,13200,14,8.6,4
Cumbres del Lago,129.6,4,3,2,4216000,25000,5,2.4,2
Zibatá,108.3,3,2,2,3902000,22600,3,3.8,1
Juriquilla,166.5,3,2,3,6459000,30600,5,2.3,2
Corregidora,150.4,2,2,2,5133000,28400,7,2.7,3
Jurica,62.5,3,3,1,2313000,12200,14,5.2,2
Juriquilla,152.5,3,2,3,4580000,24700,6,3.0,2
Zibatá,124.2,3,2,2,4042000,23300,4,3.8,1
Centro,64.1,2,1,1,1704000,9000,26,3.4,4
Centro,69.8,3,1,1,1612000,8300,22,5.2,4
Mileno III,114.5,2,2,1,2846000,15800,11,5.5,3
Mileno III,47.6,3,2,1,1532000,8000,7,3.1,3
El Refugio,72.8,2,2,2,1497000,8800,3,4.0,3
Corregidora,146.7,2,2,3,3966000,22300,14,5.0,3
Zibatá,45.0,2,2,2,1980000,11300,6,3.4,1
Mileno III,99.2,2,2,2,2197000,12600,8,4.4,3
Juriquilla,144.8,2,2,1,5418000,32000,3,2.4,2
Juriquilla,94.3,3,2,1,2426000,12500,2,3.1,2
Jurica,141.5,4,3,1,6779000,41000,6,5.4,2
Juriquilla,108.9,3,2,1,3349000,20000,8,2.5,2
El Refugio,143.1,2,2,1,4064000,19300,8,3.1,3
Corregidora,93.8,2,2,2,2863000,13200,5,5.2,3
Corregidora,86.7,2,2,2,1782000,8900,13,6.3,3
Cumbres del Lago,117.7,4,3,1,5159000,27300,1,3.5,2
Mileno III,139.5,3,2,2,3616000,20600,5,3.0,3
El Refugio,134.7,2,2,1,3758000,23900,9,4.8,3
Corregidora,106.3,3,2,1,2599000,11900,13,2.2,3
Mileno III,95.6,2,2,1,2565000,13700,11,6.4,3
Cumbres del Lago,179.0,3,3,3,7315000,41500,2,4.4,2
Zibatá,139.6,2,2,1,4389000,24500,0,3.9,1
Jurica,92.2,3,3,2,5259000,32500,19,5.2,2
Juriquilla,118.0,2,2,2,2974000,18800,1,4.8,2
Cumbres del Lago,132.0,4,3,1,4559000,23200,6,4.7,2
Jurica,104.1,3,3,2,5989000,36800,19,5.4,2
Juriquilla,81.1,3,2,1,1884000,11100,8,2.7,2
Jurica,47.6,3,3,1,2674000,15300,12,4.2,2
Jurica,71.5,3,3,2,2978000,13500,16,2.9,2
Cumbres del Lago,96.9,4,3,1,3860000,20400,3,5.0,2
Corregidora,74.4,3,2,1,1750000,9000,11,3.6,3
Centro,83.8,3,1,1,2379000,13500,23,4.4,4
Jurica,133.8,3,3,1,5363000,25400,18,2.2,2
Zibatá,105.0,3,2,1,4829000,28900,5,3.2,1
Centro,85.2,3,1,2,1753000,8300,29,8.7,4
Zibatá,94.5,2,2,2,3878000,19100,2,3.7,1
Juriquilla,92.0,2,2,2,2531000,13800,2,3.6,2
Juriquilla,120.3,3,2,1,3134000,19400,8,4.2,2
Zibatá,98.7,2,2,2,3060000,18900,2,2.5,1
El Refugio,126.3,2,2,1,3112000,18500,3,4.0,3
El Refugio,142.5,3,2,2,3817000,23600,6,3.1,3
Jurica,111.3,3,3,2,6251000,31400,7,3.4,2
Mileno III,140.9,3,2,3,2952000,15200,11,3.5,3
Corregidora,142.0,2,2,3,4859000,26300,9,3.1,3
Cumbres del Lago,145.1,3,3,2,5658000,25400,2,4.5,2
El Refugio,110.9,2,2,2,2495000,11200,2,4.8,3
Corregidora,148.4,2,2,2,4426000,22900,6,6.6,3
Centro,126.7,2,1,2,2096000,12400,29,7.5,4
Mileno III,88.9,2,2,2,2191000,13600,9,4.1,3
Jurica,92.4,3,3,1,3243000,16600,8,5.0,2
Cumbres del Lago,167.3,4,3,3,6264000,40600,3,4.0,2
Juriquilla,149.0,2,2,2,4715000,30100,7,4.0,2
Centro,113.2,1,1,1,2716000,13700,24,5.4,4
Zibatá,76.5,3,2,1,2051000,10700,1,2.4,1
Cumbres del Lago,74.9,4,3,2,2847000,17200,3,4.9,2
Cumbres del Lago,158.8,3,3,3,5715000,32700,5,2.4,2
Mileno III,45.0,2,2,1,1231000,6000,10,2.8,3
Juriquilla,123.3,2,2,1,3441000,15500,2,4.4,2
El Refugio,80.1,3,2,2,2178000,12800,3,4.4,3
Juriquilla,138.2,2,2,1,3552000,20300,4,5.0,2
Centro,135.4,1,1,2,2787000,13000,17,2.1,4
Corregidora,68.4,3,2,1,1953000,9400,13,6.1,3
Juriquilla,76.8,3,2,1,2011000,9200,5,4.1,2
Jurica,121.2,4,3,2,6030000,28100,16,5.2,2
Centro,104.8,2,1,2,1910000,11300,12,2.3,4
Centro,90.5,1,1,1,1749000,10600,28,9.8,4
Cumbres del Lago,95.5,4,3,1,3899000,25300,4,3.7,2
Juriquilla,84.7,2,2,1,1940000,10500,5,2.2,2
Mileno III,109.6,2,2,1,2601000,16800,11,4.6,3
Jurica,138.6,3,3,2,7530000,47400,14,4.9,2
Mileno III,198.4,2,2,2,5613000,32200,6,5.6,3
Jurica,95.3,4,3,2,3861000,24800,8,5.6,2
Cumbres del Lago,128.7,3,3,1,5020000,27000,6,3.5,2
Jurica,164.4,3,3,2,9830000,57100,5,3.6,2
Cumbres del Lago,136.5,3,3,2,6335000,31500,4,2.4,2
Zibatá,52.4,2,2,2,1657000,9500,3,3.7,1
Juriquilla,90.3,2,2,2,2284000,13300,6,2.5,2
Corregidora,131.2,3,2,2,2782000,12800,9,3.2,3
Cumbres del Lago,139.1,3,3,2,4753000,30200,2,2.1,2
Corregidora,115.7,3,2,2,3369000,21500,7,7.9,3
El Refugio,83.2,2,2,1,2277000,13200,8,4.3,3
Centro,88.0,1,1,1,1860000,9300,17,3.2,4
Juriquilla,125.2,2,2,1,2837000,17400,2,3.1,2
Cumbres del Lago,96.5,4,3,1,4355000,26800,6,4.8,2
Jurica,112.0,3,3,1,4830000,24800,14,3.4,2
Juriquilla,140.2,2,2,1,3641000,21900,5,2.9,2
Centro,102.4,2,1,1,2717000,16900,15,9.2,4
Juriquilla,113.6,2,2,1,3740000,19600,7,3.9,2
Corregidora,79.1,2,2,1,1869000,10600,4,5.3,3
Jurica,142.7,4,3,1,9522000,60200,7,4.2,2
Corregidora,156.0,3,2,1,4018000,21900,15,2.9,3
Zibatá,130.4,3,2,2,5196000,32700,2,3.0,1
Corregidora,127.3,3,2,1,3036000,16500,12,5.9,3
Zibatá,109.0,3,2,1,4646000,26300,3,3.3,1
El Refugio,81.5,3,2,2,2817000,15600,3,4.0,3
Cumbres del Lago,80.9,3,3,1,3356000,21200,7,2.9,2
Centro,126.5,2,1,1,2692000,12100,10,5.0,4
Mileno III,111.5,2,2,2,2455000,15400,12,5.9,3
Jurica,111.2,4,3,1,5338000,33100,14,3.0,2
Cumbres del Lago,89.8,4,3,2,2972000,18500,1,3.3,2
Juriquilla,118.4,2,2,1,3155000,15500,1,2.5,2
Zibatá,93.3,2,2,1,2894000,16900,5,2.3,1
El Refugio,68.9,3,2,1,1467000,9000,8,5.6,3
Centro,127.1,3,1,1,3182000,16800,23,4.1,4
Juriquilla,158.9,2,2,2,5093000,29700,1,3.9,2
Centro,117.0,2,1,2,2239000,10900,27,7.4,4
El Refugio,63.3,2,2,2,2047000,10500,3,3.8,3
Mileno III,126.7,2,2,1,3120000,19100,12,3.0,3
Centro,112.3,1,1,2,2456000,11600,21,9.8,4
Zibatá,112.2,2,2,2,3574000,22200,4,2.2,1
Corregidora,133.4,3,2,2,2667000,13200,9,3.0,3
Corregidora,88.9,2,2,1,2604000,16600,12,5.1,3
El Refugio,102.8,2,2,2,2926000,15400,4,5.9,3
Centro,96.8,2,1,2,2458000,11400,23,8.4,4
Corregidora,145.0,2,2,2,3969000,22900,14,6.2,3
Juriquilla,88.3,2,2,2,3018000,14600,7,3.5,2
Zibatá,188.9,2,2,1,5545000,25200,5,2.3,1
Juriquilla,106.8,3,2,2,3011000,16100,8,3.3,2
Centro,107.9,3,1,2,2474000,11400,20,7.0,4
Zibatá,93.1,3,2,1,3890000,19300,1,2.1,1
Zibatá,92.0,2,2,1,2605000,12000,3,2.6,1
Centro,71.8,1,1,1,1896000,11200,29,3.4,4
Corregidora,128.8,3,2,1,3540000,21100,6,4.2,3
Mileno III,103.0,3,2,1,2311000,11300,8,6.6,3
Corregidora,78.6,3,2,2,1547000,8100,8,3.2,3
Juriquilla,51.2,3,2,2,1399000,6900,7,2.4,2
El Refugio,171.8,3,2,3,5244000,33600,10,5.1,3
Juriquilla,144.3,3,2,1,3771000,20400,1,4.5,2
Zibatá,76.4,2,2,2,2435000,13100,2,2.9,1
Corregidora,123.8,2,2,1,2774000,16100,8,2.3,3
Zibatá,89.7,3,2,1,3382000,17200,0,3.9,1
Zibatá,91.7,3,2,1,3438000,15600,4,3.3,1
Jurica,145.8,4,3,1,7024000,40900,19,5.1,2
Zibatá,118.4,3,2,1,4364000,22400,0,3.9,1
Centro,82.2,3,1,2,2052000,12500,11,6.8,4
Centro,116.9,1,1,1,2624000,16700,17,5.5,4
Mileno III,82.8,3,2,1,2167000,13200,6,7.3,3
Cumbres del Lago,99.5,3,3,2,4191000,24900,5,4.3,2
Cumbres del Lago,126.5,3,3,2,5640000,35900,8,2.5,2
Corregidora,93.8,2,2,1,2200000,13600,7,6.9,3
Corregidora,119.4,3,2,1,3084000,17300,8,5.5,3
Corregidora,114.9,2,2,2,2731000,13600,8,3.0,3
Corregidora,84.3,2,2,1,2292000,11200,7,2.6,3
El Refugio,132.8,2,2,1,4075000,18300,3,3.8,3
El Refugio,127.5,3,2,2,4022000,23500,2,2.1,3
Jurica,96.4,4,3,1,4757000,28800,9,2.5,2
Mileno III,85.4,2,2,2,1672000,7600,8,6.0,3
Mileno III,145.0,3,2,1,3939000,18500,10,7.2,3
El Refugio,92.8,2,2,2,2567000,14600,5,2.3,3
Centro,109.8,2,1,1,2984000,18300,22,8.0,4
Zibatá,149.4,3,2,1,5493000,28800,3,2.2,1
Juriquilla,155.4,2,2,1,4177000,22900,4,2.9,2
Cumbres del Lago,128.9,3,3,1,5890000,37700,6,5.0,2
Corregidora,95.3,3,2,1,2797000,15400,14,2.1,3
Corregidora,76.4,2,2,1,2133000,13100,6,3.6,3
Corregidora,45.0,3,2,1,1028000,5600,7,2.8,3
Juriquilla,86.0,3,2,1,2281000,10800,4,4.3,2
Cumbres del Lago,108.4,3,3,2,3801000,18900,8,2.2,2
Centro,134.4,2,1,2,3462000,20900,19,4.2,4
Centro,115.2,3,1,2,2103000,11100,27,9.3,4
Cumbres del Lago,104.9,4,3,1,4858000,27300,7,2.1,2
Cumbres del Lago,144.8,4,3,2,6318000,37500,1,3.5,2
Corregidora,98.7,3,2,1,3464000,16800,6,3.9,3
Juriquilla,97.2,3,2,1,3362000,16600,7,4.1,2
Centro,93.7,2,1,1,2238000,11000,18,8.3,4
El Refugio,72.0,3,2,2,1900000,11000,10,5.3,3
Mileno III,108.3,3,2,2,2902000,17600,11,2.7,3
Juriquilla,90.6,3,2,2,2833000,13400,7,4.3,2
Cumbres del Lago,86.0,4,3,2,4047000,24200,4,2.8,2
Juriquilla,136.5,2,2,2,3926000,20700,4,4.4,2
Zibatá,107.7,2,2,1,2853000,14800,2,2.4,1
Juriquilla,166.2,2,2,1,6121000,33000,7,2.6,2
Mileno III,142.4,3,2,2,3772000,18200,10,5.7,3
Mileno III,100.0,3,2,2,2801000,17000,8,6.4,3
Mileno III,97.9,3,2,1,2778000,14800,12,6.8,3
Cumbres del Lago,121.0,4,3,2,4394000,19800,4,4.6,2
Juriquilla,91.5,2,2,1,3066000,18200,4,4.2,2
Corregidora,72.2,3,2,2,1768000,10800,9,6.3,3
Centro,79.7,1,1,1,2208000,11000,11,8.6,4
Centro,93.0,1,1,1,2220000,12500,24,3.5,4
Juriquilla,97.7,2,2,2,2419000,14400,3,4.5,2
El Refugio,145.8,3,2,3,4639000,21500,8,2.8,3
Jurica,76.4,3,3,1,3241000,15000,8,5.5,2
Juriquilla,140.9,3,2,1,3725000,21600,7,4.4,2
Mileno III,70.5,2,2,1,1706000,8400,10,3.0,3
Corregidora,45.0,3,2,1,1009000,6300,14,4.5,3
Cumbres del Lago,135.4,4,3,2,6542000,39900,1,2.9,2
Centro,111.2,1,1,1,2058000,11400,28,9.0,4
Jurica,114.6,3,3,2,5516000,31400,13,2.0,2
Zibatá,132.4,2,2,2,5602000,31800,2,3.8,1
Juriquilla,83.4,3,2,1,2395000,10900,7,2.2,2
Zibatá,135.6,2,2,1,5609000,26500,4,2.1,1
Corregidora,89.5,2,2,1,2955000,16600,12,6.0,3
Corregidora,94.5,3,2,2,2016000,12900,12,4.0,3
Mileno III,117.2,3,2,1,2810000,14800,6,3.4,3
Corregidora,103.8,2,2,1,2145000,11200,11,5.8,3
Centro,57.5,2,1,2,1271000,6900,17,3.9,4
Zibatá,123.6,2,2,2,2846000,14000,0,3.0,1
Zibatá,72.8,3,2,2,2957000,16300,0,2.7,1
Zibatá,92.6,2,2,2,3450000,18900,4,2.7,1
Zibatá,135.6,3,2,1,4042000,21600,2,2.3,1
Centro,120.3,1,1,2,3347000,19800,25,4.4,4
Juriquilla,133.1,2,2,2,4314000,26900,7,4.2,2
El Refugio,101.9,2,2,2,2916000,18300,3,2.5,3
Centro,83.3,2,1,1,1852000,10700,24,8.0,4
Zibatá,107.0,3,2,1,2826000,16300,5,2.2,1
Corregidora,110.6,3,2,1,3837000,22600,9,7.0,3
Centro,106.1,1,1,1,2413000,14300,14,3.0,4
Juriquilla,53.5,3,2,2,1655000,8300,5,4.1,2
Corregidora,117.9,3,2,2,3441000,16100,6,4.7,3
Zibatá,141.5,3,2,2,5622000,29500,2,3.2,1
Jurica,123.5,3,3,2,4705000,27200,5,3.4,2
Centro,79.1,3,1,1,1642000,9600,24,2.6,4
Corregidora,146.7,3,2,2,3673000,18200,4,2.6,3
Jurica,113.3,3,3,1,4345000,27500,15,2.5,2
Zibatá,102.2,3,2,2,3208000,17400,4,3.7,1
Mileno III,158.0,3,2,2,4104000,21600,12,7.9,3
Corregidora,109.5,2,2,2,3276000,20100,9,3.5,3
Corregidora,121.9,2,2,2,3338000,20500,4,5.0,3
Centro,138.8,1,1,1,3074000,19900,22,7.0,4
Centro,55.3,2,1,2,1073000,5800,28,3.6,4
Centro,159.9,2,1,1,3050000,14400,24,9.0,4
Juriquilla,156.9,3,2,1,6451000,35600,6,2.1,2
Centro,143.8,3,1,3,2867000,15100,13,4.3,4
Zibatá,108.5,3,2,1,4897000,26000,2,3.2,1
Zibatá,155.5,2,2,1,4569000,24500,2,2.4,1
Juriquilla,160.9,2,2,3,4861000,27900,7,4.7,2
Cumbres del Lago,136.6,4,3,1,5417000,27600,6,4.2,2
Jurica,133.7,4,3,2,6353000,28700,13,3.1,2
Zibatá,106.3,2,2,1,4385000,25500,6,2.3,1
Cumbres del Lago,99.3,3,3,2,3369000,15600,3,3.8,2
Jurica,124.1,4,3,2,5419000,30000,17,5.8,2
Jurica,54.3,4,3,2,3304000,15200,5,4.0,2
El Refugio,139.4,2,2,2,4630000,24500,3,3.4,3
Zibatá,147.1,3,2,1,4470000,28800,6,3.0,1
Corregidora,97.8,2,2,2,3019000,18500,4,6.3,3
Mileno III,68.5,3,2,2,2045000,12400,5,3.5,3
Mileno III,79.8,2,2,1,1975000,9400,11,3.6,3
El Refugio,115.0,2,2,1,2617000,14400,10,5.7,3
El Refugio,130.8,2,2,1,2714000,16200,9,6.2,3
Corregidora,157.9,3,2,3,4066000,20800,12,4.2,3
Centro,53.6,3,1,1,1186000,6800,26,7.5,4
Jurica,74.3,3,3,2,4326000,27800,19,2.7,2
Centro,121.5,1,1,2,3288000,15100,18,2.8,4
Corregidora,85.9,3,2,2,2215000,10800,10,5.0,3
Mileno III,101.4,2,2,1,2408000,13100,7,7.1,3
Jurica,119.8,4,3,1,6165000,29400,8,4.7,2
Cumbres del Lago,121.2,4,3,2,4908000,30800,4,3.2,2
Centro,92.4,3,1,1,1647000,8200,22,2.5,4
Corregidora,77.5,3,2,2,1705000,9300,5,2.1,3
Cumbres del Lago,133.7,4,3,1,4361000,28000,4,3.8,2
Centro,152.4,3,1,3,4057000,18300,26,6.2,4
Zibatá,93.5,2,2,2,2557000,13000,0,2.2,1
Juriquilla,84.6,2,2,2,2437000,15700,4,2.0,2
Cumbres del Lago,131.9,3,3,1,6147000,33200,8,4.7,2
Mileno III,119.4,3,2,2,3503000,17400,10,6.0,3
Jurica,114.5,4,3,2,6340000,31100,6,4.6,2
El Refugio,98.7,3,2,1,3110000,16400,4,2.7,3
Centro,100.5,3,1,1,2699000,14600,10,4.8,4
Cumbres del Lago,115.0,4,3,1,4767000,22700,2,2.0,2
El Refugio,98.5,3,2,1,2783000,12900,3,3.2,3
Mileno III,70.8,2,2,2,1690000,7700,6,3.0,3
Juriquilla,115.7,2,2,2,3958000,25400,3,4.4,2
Jurica,109.1,4,3,2,5471000,29400,15,5.9,2
Zibatá,178.3,2,2,3,7242000,44000,5,3.2,1
Zibatá,150.8,2,2,1,5265000,31800,1,3.9,1
Centro,80.2,3,1,2,2302000,13800,10,5.7,4
Corregidora,100.6,3,2,2,2928000,13400,8,4.3,3
El Refugio,110.0,3,2,2,3203000,15900,3,4.6,3
Corregidora,173.0,3,2,1,6039000,27700,9,4.4,3
Corregidora,102.6,2,2,1,3315000,21200,6,4.4,3
Zibatá,133.5,2,2,2,4401000,21900,4,3.1,1
El Refugio,66.8,3,2,1,1724000,7800,5,2.5,3
El Refugio,77.4,3,2,1,2236000,11300,9,4.9,3
Centro,131.3,3,1,1,2965000,18200,16,8.8,4
Centro,66.5,1,1,2,1441000,8300,18,4.4,4
Zibatá,109.6,3,2,2,3407000,20900,6,3.8,1
Cumbres del Lago,147.1,4,3,2,6739000,34100,4,2.5,2
Cumbres del Lago,77.9,3,3,1,3073000,16300,7,2.4,2
Mileno III,151.0,3,2,3,3421000,15400,10,3.8,3
Cumbres del Lago,84.7,4,3,2,3761000,23300,4,2.7,2
Cumbres del Lago,135.6,3,3,1,4672000,29400,8,4.5,2
Mileno III,117.1,3,2,1,2867000,15000,11,6.6,3
Cumbres del Lago,164.1,3,3,2,6165000,33600,7,3.6,2
Juriquilla,121.5,3,2,2,3138000,19000,4,3.9,2
Cumbres del Lago,45.0,3,3,1,1462000,8900,8,2.5,2
Cumbres del Lago,114.7,3,3,2,3922000,18000,7,4.6,2
Juriquilla,71.0,3,2,1,2553000,13700,3,2.4,2
Jurica,73.3,3,3,1,3661000,23100,7,3.9,2
Juriquilla,108.2,3,2,2,3693000,20600,3,3.5,2
Corregidora,123.6,2,2,1,3013000,17800,14,4.9,3
Zibatá,80.1,3,2,1,2841000,17400,3,3.4,1
Juriquilla,101.6,2,2,2,4049000,26100,7,2.9,2
Zibatá,112.1,3,2,1,4013000,21500,2,2.4,1
Centro,90.8,2,1,1,2059000,10600,10,4.3,4
El Refugio,94.9,2,2,1,2561000,13600,5,5.4,3
Mileno III,72.5,2,2,2,1692000,10900,7,3.7,3
El Refugio,122.1,3,2,2,3193000,18000,6,6.9,3
Juriquilla,108.7,2,2,1,3539000,21100,4,2.2,2
El Refugio,138.5,3,2,2,3418000,17400,8,2.4,3
Mileno III,71.4,3,2,2,1865000,8400,6,5.7,3
Zibatá,140.2,2,2,1,4343000,27000,5,2.6,1
Juriquilla,49.8,2,2,2,1950000,12200,1,2.5,2
Zibatá,127.9,3,2,1,3346000,16700,4,2.8,1
Centro,149.0,3,1,1,3779000,22000,19,5.2,4
Jurica,109.2,3,3,2,6770000,36300,6,2.4,2
Cumbres del Lago,173.2,4,3,1,5792000,33100,3,4.2,2
Juriquilla,146.6,2,2,3,3865000,17600,1,4.5,2
Juriquilla,141.1,2,2,2,5053000,27000,5,2.2,2
Mileno III,158.4,3,2,2,4885000,31000,10,7.0,3
Corregidora,139.9,3,2,2,4351000,24100,6,5.7,3
Zibatá,98.2,2,2,2,2901000,18200,2,3.1,1
Juriquilla,154.1,3,2,3,5755000,35400,5,3.2,2
Jurica,169.8,3,3,3,9136000,52000,16,3.7,2
Corregidora,87.0,3,2,2,2522000,11800,10,2.3,3
Cumbres del Lago,132.1,3,3,2,4834000,30200,5,2.2,2
Corregidora,105.2,2,2,2,2462000,12300,6,2.7,3
Jurica,61.3,3,3,1,3435000,21700,14,5.3,2
Jurica,120.6,3,3,2,6700000,41800,18,3.4,2
Corregidora,95.8,2,2,2,3162000,18900,8,6.1,3
Juriquilla,141.0,2,2,2,4411000,25900,1,2.5,2
Cumbres del Lago,45.0,3,3,2,1957000,9400,5,4.2,2
Juriquilla,97.5,3,2,1,3383000,17600,6,2.5,2
Centro,80.8,2,1,2,1351000,6700,20,4.0,4
Cumbres del Lago,116.3,4,3,2,4667000,25000,8,3.8,2
Zibatá,84.6,3,2,1,2993000,17200,4,3.0,1
Jurica,161.6,3,3,1,6435000,30700,20,4.4,2
El Refugio,79.5,3,2,1,2139000,9700,4,3.0,3
Juriquilla,111.0,2,2,1,3618000,21200,3,3.4,2
Centro,120.5,1,1,2,3115000,14800,10,5.7,4
Mileno III,127.3,2,2,1,3167000,14300,6,6.9,3
